@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {rest, flex}

@DATA
32, 25, 7, 0, 2.76347865706, rest
34, 25, 9, 0, 3.07324896214, rest
34, 21, 13, 0, 3.55693295476, rest
37, 21, 16, 0, 3.76602710236, rest
37, 21, 16, 0, 3.41322990509, rest
34, 21, 13, 0, 3.23456710401, rest
32, 21, 11, 0, 3.0776354625, rest
32, 22, 10, 0, 3.0701492543, rest
28, 22, 6, 0, 2.26469256103, rest
32, 22, 10, 0, 3.11482094978, rest
32, 22, 10, 0, 3.07012918396, rest
32, 23, 9, 0, 3.04906598654, rest
32, 24, 8, 0, 2.9762392233, rest
33, 23, 10, 0, 2.93279530194, rest
34, 23, 11, 0, 3.32727174126, rest
34, 24, 10, 0, 3.21881664326, rest
32, 24, 8, 0, 2.63655816076, rest
31, 25, 6, 0, 2.39395854834, rest
32, 23, 9, 0, 2.7196220293, rest
33, 23, 10, 0, 3.17630301102, rest
33, 23, 10, 0, 2.90811130009, rest
32, 23, 9, 0, 2.68507593691, rest
32, 23, 9, 0, 2.97749322345, rest
32, 23, 9, 0, 3.17799909874, rest
30, 23, 7, 0, 2.64250566805, rest
33, 23, 10, 0, 3.16053465873, rest
41, 24, 17, 0, 3.49500660183, rest
42, 25, 17, 0, 3.74142418593, rest
42, 25, 17, 0, 3.5013500745, rest
34, 24, 10, 0, 3.00817753978, rest
34, 24, 10, 0, 2.9962367267, rest
36, 26, 10, 0, 2.89555154469, rest
36, 24, 12, 0, 3.22363345855, rest
34, 24, 10, 0, 3.12495012517, rest
34, 24, 10, 0, 3.24990045574, rest
32, 24, 8, 0, 2.78442262803, rest
34, 25, 9, 0, 2.8386336897, rest
34, 24, 10, 0, 3.03094648716, rest
32, 24, 8, 0, 2.73486698292, rest
32, 24, 8, 0, 2.70051897626, rest
31, 23, 8, 0, 2.85801717808, rest
29, 22, 7, 0, 2.38851651502, rest
28, 22, 6, 0, 2.25310901464, rest
33, 23, 10, 0, 3.20607528866, rest
33, 24, 9, 0, 3.06465102411, rest
28, 22, 6, 0, 2.24232773509, rest
32, 22, 10, 0, 3.22456267222, rest
32, 25, 7, 0, 2.85775022006, rest
32, 24, 8, 0, 2.78107166429, rest
33, 24, 9, 0, 3.07157699591, rest
33, 22, 11, 0, 3.13382486662, rest
36, 22, 14, 0, 3.50243569632, rest
36, 25, 11, 0, 3.23910337171, rest
34, 24, 10, 0, 2.93075524587, rest
32, 24, 8, 0, 2.75070315206, rest
32, 24, 8, 0, 2.70469487623, rest
32, 24, 8, 0, 2.67051937778, rest
35, 24, 11, 0, 3.16100030515, rest
35, 24, 11, 0, 3.19925943992, rest
34, 21, 13, 0, 3.45031643208, rest
51, 21, 30, 0, 4.38643326061, rest
54, 30, 24, 0, 4.20404368563, rest
54, 30, 24, 0, 3.95804685749, rest
52, 31, 21, 0, 4.13248695736, rest
52, 28, 24, 0, 4.18877751872, rest
36, 26, 10, 0, 2.95563882622, rest
38, 26, 12, 0, 3.00851816145, rest
38, 24, 14, 0, 3.33558320566, rest
38, 24, 14, 0, 3.39176715093, rest
38, 28, 10, 0, 3.00311713705, rest
38, 25, 13, 0, 3.34816837845, rest
37, 25, 12, 0, 3.41423795086, rest
43, 25, 18, 0, 3.75838339916, rest
45, 29, 16, 0, 3.69756926499, rest
45, 27, 18, 0, 3.67339220884, rest
38, 27, 11, 0, 3.43471579428, rest
39, 27, 12, 0, 3.51854301198, rest
39, 27, 12, 0, 3.43522699017, rest
41, 27, 14, 0, 3.47566436278, rest
42, 31, 11, 0, 3.31660831297, rest
42, 29, 13, 0, 3.40532847239, rest
35, 24, 11, 0, 3.17966484063, rest
35, 24, 11, 0, 2.93205427168, rest
35, 24, 11, 0, 2.7402708785, rest
37, 24, 13, 0, 3.23044434546, rest
40, 25, 15, 0, 3.56517842203, rest
40, 28, 12, 0, 3.36253675071, rest
40, 30, 10, 0, 3.21173037903, rest
40, 28, 12, 0, 3.37783585847, rest
37, 28, 9, 0, 2.91537309125, rest
36, 28, 8, 0, 2.6932088195, rest
36, 28, 8, 0, 2.84140534286, rest
39, 28, 11, 0, 3.31166181046, rest
39, 27, 12, 0, 3.33681739161, rest
38, 27, 11, 0, 3.08653046619, rest
35, 20, 15, 0, 3.28619944011, rest
35, 18, 17, 0, 3.88934252552, rest
39, 18, 21, 0, 4.03252658833, rest
41, 25, 16, 0, 3.74407874019, rest
41, 26, 15, 0, 3.70656167176, rest
37, 22, 15, 0, 3.72320214452, rest
34, 22, 12, 0, 3.16546004641, rest
35, 27, 8, 0, 2.69972343044, rest
35, 27, 8, 0, 2.59812001, rest
32, 25, 7, 0, 2.73118575452, rest
32, 25, 7, 0, 2.90053871561, rest
40, 25, 15, 0, 3.82311295097, rest
41, 29, 12, 0, 3.40280411576, rest
41, 27, 14, 0, 3.52809730681, rest
40, 27, 13, 0, 3.39732795131, rest
43, 31, 12, 0, 3.39958841772, rest
46, 31, 15, 0, 3.68245002959, flex
44, 31, 13, 0, 3.35194303102, flex
52, 33, 19, 0, 3.87176304263, flex
118, 26, 92, 0, 5.11933872366, flex
202, 26, 176, 2, 6.75259436073, flex
212, 68, 144, 2, 6.68289067287, flex
212, 66, 146, 2, 6.50194949935, flex
318, 66, 252, 2, 6.77357481072, flex
318, 59, 259, 3, 7.05094374674, flex
281, 59, 222, 3, 7.00686554671, flex
281, 84, 197, 2, 6.79727867503, flex
235, 38, 197, 2, 6.79077606341, flex
341, 38, 303, 3, 7.16599159737, flex
341, 52, 289, 3, 7.15733174891, flex
428, 76, 352, 4, 7.2903121989, flex
428, 77, 351, 4, 7.18312527297, flex
653, 77, 576, 5, 7.38262248489, flex
653, 64, 589, 6, 7.61966698461, flex
320, 51, 269, 3, 7.06157481072, flex
283, 51, 232, 3, 6.91741841065, flex
334, 82, 252, 3, 6.97025912503, flex
334, 60, 274, 3, 6.90267273722, flex
327, 60, 267, 3, 7.10525354887, flex
470, 66, 404, 4, 7.19853013455, flex
470, 66, 404, 4, 7.20059436073, flex
301, 82, 219, 3, 6.97682644669, flex
285, 82, 203, 3, 6.94393517258, flex
368, 64, 304, 3, 6.93593517258, flex
401, 64, 337, 4, 7.24154968456, flex
401, 46, 355, 4, 7.42816977269, flex
329, 46, 283, 3, 7.16148563483, flex
329, 73, 256, 3, 7.12557481072, flex
536, 73, 463, 4, 7.40980941082, flex
536, 87, 449, 4, 7.29754968456, flex
345, 83, 262, 3, 7.01121444886, flex
345, 29, 316, 3, 6.74565301075, flex
335, 29, 306, 2, 6.61145751067, flex
335, 37, 298, 3, 7.17373121079, flex
312, 40, 272, 3, 6.92713624882, flex
400, 63, 337, 3, 7.14565301075, flex
400, 66, 334, 4, 7.3142088727, flex
372, 37, 335, 3, 7.09775633695, flex
428, 37, 391, 4, 7.5046474346, flex
428, 60, 368, 4, 7.25609157265, flex
338, 60, 278, 3, 7.0555357107, flex
338, 49, 289, 3, 7.15515039913, flex
312, 49, 263, 3, 7.03405247263, flex
312, 41, 271, 3, 7.17347148452, flex
365, 41, 324, 4, 7.37256923457, flex
365, 69, 296, 4, 7.10343238451, flex
343, 69, 274, 3, 7.00703292263, flex
402, 76, 326, 4, 7.03335687507, flex
402, 76, 326, 3, 6.84304707294, flex
301, 55, 246, 3, 7.05406662295, flex
284, 40, 244, 3, 7.05629822504, flex
191, 28, 163, 1, 6.63552442744, flex
239, 28, 211, 2, 6.83711129912, flex
239, 58, 181, 2, 6.65580707313, flex
292, 56, 236, 2, 6.79727867503, flex
292, 55, 237, 2, 6.59743004682, flex
141, 33, 108, 1, 6.28188227516, flex
214, 33, 181, 2, 6.97261948689, flex
214, 65, 149, 2, 6.7276390369, flex
270, 65, 205, 3, 6.85982056313, flex
270, 83, 187, 3, 6.77378146311, flex
328, 75, 253, 4, 6.79913690914, flex
328, 47, 281, 4, 7.21503292263, flex
314, 42, 272, 3, 6.90705804879, flex
268, 42, 226, 2, 7.04205247263, flex
424, 56, 368, 3, 6.9275357107, flex
540, 56, 484, 5, 7.23969211077, flex
540, 51, 489, 5, 7.31354968456, flex
256, 45, 211, 3, 6.98721444886, flex
246, 45, 201, 2, 6.8459742726, flex
293, 76, 217, 3, 6.92803849878, flex
293, 75, 218, 2, 6.91349661068, flex
225, 75, 150, 2, 6.49524023533, flex
236, 45, 191, 3, 6.85135418447, flex
236, 39, 197, 3, 6.9894074348, flex
235, 34, 201, 2, 6.63346559662, flex
214, 34, 180, 2, 6.66380083232, flex
214, 33, 181, 2, 6.85603849878, flex
263, 33, 230, 2, 7.0140775988, flex
263, 68, 195, 3, 6.82403849878, flex
223, 45, 178, 2, 6.76926518504, flex
226, 45, 181, 2, 6.66188478931, flex
397, 55, 342, 3, 7.13562806105, flex
397, 53, 344, 3, 7.17754968456, flex
287, 53, 234, 2, 6.78715039913, flex
264, 29, 235, 2, 6.868840597, flex
379, 29, 350, 2, 6.72585652888, flex
379, 30, 349, 3, 6.94771723693, flex
443, 40, 403, 3, 7.30056923457, flex
443, 40, 403, 3, 7.2151893227, flex
240, 58, 182, 2, 6.75243796066, flex
237, 32, 205, 2, 6.81904707294, flex
153, 32, 121, 1, 6.36067291367, flex
207, 32, 175, 1, 6.40423711975, flex
240, 46, 194, 2, 6.76344653482, flex
240, 46, 194, 2, 6.71957498717, flex
227, 70, 157, 2, 6.60485157285, flex
253, 40, 213, 3, 7.01367813692, flex
253, 40, 213, 2, 6.91611669881, flex
208, 60, 148, 2, 6.64225912503, flex
256, 60, 196, 2, 6.85211669881, flex
256, 64, 192, 2, 6.82599939876, flex
242, 64, 178, 2, 6.67897984875, flex
242, 35, 207, 2, 6.97855526071, flex
223, 35, 188, 2, 7.01307202264, flex
223, 39, 184, 2, 6.75041301095, flex
263, 39, 224, 2, 6.96092977288, flex
263, 56, 207, 2, 6.66311147557, flex
411, 56, 355, 3, 6.90805264909, flex
411, 50, 361, 3, 7.33151058454, flex
193, 40, 153, 1, 6.23070080781, flex
195, 40, 155, 1, 6.38491597548, flex
195, 48, 147, 1, 6.36696119439, flex
516, 48, 468, 3, 6.33969858257, flex
516, 100, 416, 4, 6.88460851104, flex
410, 53, 357, 3, 7.17347148452, flex
235, 43, 192, 2, 6.65825912503, flex
132, 43, 89, 1, 5.97870276054, flex
144, 35, 109, 1, 6.20342242188, flex
157, 35, 122, 1, 6.35845228742, flex
157, 49, 108, 1, 6.32874793925, flex
145, 41, 104, 2, 6.22285664646, flex
168, 29, 139, 1, 6.58677900784, flex
168, 29, 139, 1, 6.54498548378, flex
224, 30, 194, 1, 6.68677606341, flex
314, 30, 284, 2, 6.95858038687, flex
314, 53, 261, 3, 6.92356083686, flex
186, 26, 160, 2, 6.63018092499, flex
167, 26, 141, 1, 6.42868706398, flex
224, 35, 189, 2, 6.81842716126, flex
224, 66, 158, 2, 6.47402746935, flex
219, 66, 153, 1, 6.30441295738, flex
219, 80, 139, 2, 6.16437563363, flex
155, 28, 127, 2, 6.36059153918, flex
155, 28, 127, 1, 6.48532892736, flex
161, 32, 129, 1, 6.48887669901, flex
306, 39, 267, 2, 6.77473744726, flex
306, 39, 267, 2, 6.98117534884, flex
303, 68, 235, 2, 6.76356083686, flex
190, 23, 167, 2, 5.68168338698, flex
182, 23, 159, 1, 5.79970655077, flex
182, 24, 158, 2, 6.57691734527, flex
211, 28, 183, 2, 6.70205419533, flex
211, 42, 169, 2, 6.6318753597, flex
180, 42, 138, 1, 6.20963921335, flex
311, 42, 269, 3, 6.68013084912, flex
311, 42, 269, 3, 7.09699382261, flex
294, 32, 262, 2, 6.8950721991, flex
129, 32, 97, 1, 6.02216712759, flex
102, 19, 83, 1, 5.91091781593, flex
159, 19, 140, 1, 6.31959631876, flex
166, 44, 122, 2, 6.51778212343, flex
503, 64, 439, 4, 7.10558896103, flex
503, 53, 450, 3, 7.05642698481, flex
464, 53, 411, 4, 7.06695472259, flex
464, 67, 397, 4, 7.16205247263, flex
619, 67, 552, 5, 7.25609157265, flex
619, 109, 510, 8, 7.53966698461, flex
573, 68, 505, 5, 7.22173121079, flex
299, 61, 238, 3, 6.86609174911, flex
387, 57, 330, 3, 7.05699382261, flex
536, 57, 479, 4, 7.26876491111, flex
536, 60, 476, 4, 7.18392419673, flex
286, 16, 270, 3, 5.83985100105, flex
472, 16, 456, 4, 6.24163288895, flex
472, 42, 430, 4, 7.08165301075, flex
569, 42, 527, 5, 7.24180941082, flex
569, 79, 490, 5, 7.25121444886, flex
675, 79, 596, 5, 7.21814482298, flex
675, 56, 619, 6, 7.49713924683, flex
326, 24, 302, 2, 6.76382668202, flex
461, 24, 437, 3, 6.72880713201, flex
461, 62, 399, 3, 6.85956083686, flex
388, 55, 333, 3, 6.79156401132, flex
388, 55, 333, 3, 7.08304707294, flex
273, 48, 225, 2, 6.856530311, flex
287, 48, 239, 2, 6.77134584564, flex
294, 48, 246, 3, 6.97569211077, flex
294, 60, 234, 3, 6.66536851124, flex
278, 51, 227, 2, 6.83596029874, flex
254, 35, 219, 2, 6.87654446131, flex
360, 35, 325, 3, 6.84699717352, flex
360, 43, 317, 2, 6.57960011334, flex
471, 43, 428, 4, 7.05775633695, flex
471, 65, 406, 4, 7.0475357107, flex
259, 65, 194, 2, 6.63780976373, flex
259, 60, 199, 2, 6.67508634941, flex
427, 60, 367, 4, 6.99481498698, flex
427, 70, 357, 3, 6.82564467193, flex
234, 70, 164, 2, 6.54625912503, flex
234, 55, 179, 2, 6.42765111533, flex
393, 55, 338, 3, 6.4665924653, flex
393, 73, 320, 3, 7.1355357107, flex
336, 73, 263, 2, 6.40701912522, flex
138, 61, 77, 1, 5.56993256768, flex
82, 40, 42, 1, 4.88772837586, flex
324, 39, 285, 2, 6.17991628782, flex
324, 39, 285, 3, 6.95783453698, flex
299, 43, 256, 2, 6.80259453718, flex
358, 48, 310, 4, 7.10751058454, flex
358, 46, 312, 3, 6.81259184658, flex
444, 46, 398, 3, 6.74003598464, flex
444, 72, 372, 4, 6.99383202284, flex
677, 72, 605, 4, 6.76638757738, flex
677, 86, 591, 5, 6.9329439232, flex
675, 53, 622, 5, 7.32980941082, flex
450, 53, 397, 3, 6.91827327534, flex
520, 77, 443, 4, 6.83000257322, flex
520, 80, 440, 4, 6.94639886064, flex
470, 80, 390, 4, 7.1180775988, flex
